Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Azimuth Angle,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW),Latitude,Longitude,Balancing Authority Code
57170,"EDF Renewable Asset Holdings, Inc.",57708,Catalina Solar LLC,CA,Kern,INV,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,110.0,110.0,110.0,12,2012,,,,Y,,,,,,,178.0,20.0,143.0,,Y,,,,,N, ,N, ,34.938261,-118.334492,CISO
60025,Greenbacker Renewable Energy Corporation,57722,North Palm Springs 4A,CA,Riverside,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,4.0,4.0,4.0,10,2012,,Y,,,,,,,,,225.0,45.0,4.0,Y,,,,,,N, ,N, ,33.909722,-116.5625,CISO
60025,Greenbacker Renewable Energy Corporation,57743,North Palm Springs 1A,CA,Riverside,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.5,2.4,2.4,4,2012,,Y,,,,,,,,,225.0,45.0,2.4,Y,,,,,,N, ,N, ,33.924167,-116.593333,CISO
57073,"Solar Star California XV, LLC",57764,Naval Air Weapons Station China Lake,CA,Kern,1,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,11.1,11.1,11.1,9,2012,,Y,,,,,,,,,0.0,0.0,13.8,Y,,,,,,N, ,N, ,35.68771,-117.68137,CISO
58315,SSA Solar of CA 2 LLC,57773,Palo Verde College,CA,Riverside,1,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,1.2,1.2,1.2,8,2009,,Y,,,,,,,,,0.0,30.0,1.2,Y,,,,,,N, ,N, ,33.661667,-114.651667,CISO
57104,Golden Springs Development Company LLC,57796,Golden Springs Building C-1,CA,Los Angeles,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.2,1.2,1.2,2,2012,,,,Y,,,,,,,180.0,10.0,1.3,Y,,,,,,N, ,N, ,33.914167,-118.053611,CISO
57104,Golden Springs Development Company LLC,57797,Golden Springs Building D,CA,Los Angeles,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.3,1.3,1.3,3,2012,,,,Y,,,,,,,180.0,10.0,1.4,Y,,,,,,N, ,N, ,33.911944,-118.052222,CISO
58661,"Sustainable Power Group, LLC",57827,Dinuba Wastewater Treatment Plant,CA,Tulare,DSPV,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,1.0,1.0,1.0,11,2011,,Y,N,N,,,,,,,90.0, ,1.2,Y,,,,,,N, ,N, ,36.538056,-119.426388,CISO
57154,Heliocentric LLC,57831,Heliocentric,CA,Los Angeles,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.5,1.3,1.5,3,2012,,,,Y,,,,,,,180.0,30.0,1.7,Y,,,,,,N, ,N, ,34.65434,-117.971004,CISO
57159,L-8 Solar Project LLC,57836,L-8 Solar Project,CA,Los Angeles,TSM,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.5,1.3,1.5,5,2012,,,,Y,,,,,,,180.0,30.0,1.7,Y,,,,,,N, ,N, ,34.654347,-117.973103,CISO
59139,SunEdison LLC,57840,ISH Solar Hospital SDMC,CA,San Diego,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.1,1.1,1.1,12,2011,,,,Y,,,,,,,0.0,5.0,1.1,Y,,,,,,N, ,N, ,32.791667,-117.095277,CISO
59139,SunEdison LLC,57841,ISH Solar Hospital Downey,CA,Los Angeles,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.1,1.1,1.1,9,2011,,,,Y,,,,,,,0.0,10.0,1.1,Y,,,,,,N, ,N, ,33.921667,-118.124444,CISO
56918,University of California San Diego,57856,Univ of California San Diego Solar,CA,San Diego,SGU1,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,1.2,1.2,1.2,12,2008,N,,,Y,,,,,,,180.0,20.0,1.2,Y,,,,,,N, ,N, ,32.874379,-117.238927,CISO
57194,City of Industry,57860,Industry MetroLink PV 1,CA,Los Angeles,1,OP,Solar Photovoltaic,PV,Electric Utility,1,1.5,1.5,1.5,4,2012,,,,Y,,,,,,,223.0,5.0,2.0,Y,,,,,,N, ,N, ,34.008661,-117.845603,CISO
57213,Castle Rock Cooling,57870,Castle Rock Vineyards,CA,Tulare,SOLAR,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,1.0,1.0,1.0,9,2010,,,,Y,,,,,,,180.0,20.0,1.1,Y,,,,,,Y,1.1,N, ,35.801111,-119.110556,CISO
14328,Pacific Gas & Electric Co.,57891,Guernsey Solar Station,CA,Kings,1,OP,Solar Photovoltaic,PV,Electric Utility,1,20.0,20.0,20.0,8,2013,,Y,,,,,,,,,90.0,0.0,25.5,Y,,,,,,N, ,N, ,36.163889,-119.650556,CISO
14328,Pacific Gas & Electric Co.,57892,Gates Solar Station,CA,Fresno,1,OP,Solar Photovoltaic,PV,Electric Utility,1,20.0,20.0,20.0,6,2013,,,,Y,,,,,,,180.0,25.0,27.7,Y,,,,,,N, ,N, ,36.176389,-120.114167,CISO
57262,Kern County Water Agency,57895,Improvement Dst No. 4,CA,Kern,ID4,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,1.1,1.1,1.1,1,2009,,N,,Y,Y,,,,,,180.0,22.0,1.2,Y,,,,,,N, ,N, ,35.402778,-119.038611,CISO
17609,Southern California Edison Co,57900,Solar Photovoltaic Project #48,CA,San Bernardino,S48A,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,180.0,10.0,0.7,Y,,,,,,N, ,N, ,34.081111,-117.228056,CISO
17609,Southern California Edison Co,57900,Solar Photovoltaic Project #48,CA,San Bernardino,S48B,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,180.0,10.0,0.7,Y,,,,,,N, ,N, ,34.081111,-117.228056,CISO
17609,Southern California Edison Co,57900,Solar Photovoltaic Project #48,CA,San Bernardino,S48C,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,180.0,10.0,0.7,Y,,,,,,N, ,N, ,34.081111,-117.228056,CISO
17609,Southern California Edison Co,57900,Solar Photovoltaic Project #48,CA,San Bernardino,S48D,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,180.0,10.0,0.7,Y,,,,,,N, ,N, ,34.081111,-117.228056,CISO
17609,Southern California Edison Co,57900,Solar Photovoltaic Project #48,CA,San Bernardino,S48E,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,180.0,10.0,0.7,Y,,,,,,N, ,N, ,34.081111,-117.228056,CISO
17609,Southern California Edison Co,57900,Solar Photovoltaic Project #48,CA,San Bernardino,S48F,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,180.0,10.0,0.7,Y,,,,,,N, ,N, ,34.081111,-117.228056,CISO
17609,Southern California Edison Co,57900,Solar Photovoltaic Project #48,CA,San Bernardino,S48G,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,180.0,10.0,0.7,Y,,,,,,N, ,N, ,34.081111,-117.228056,CISO
17609,Southern California Edison Co,57900,Solar Photovoltaic Project #48,CA,San Bernardino,S48H,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,180.0,10.0,0.7,Y,,,,,,N, ,N, ,34.081111,-117.228056,CISO
17609,Southern California Edison Co,57900,Solar Photovoltaic Project #48,CA,San Bernardino,S48I,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,180.0,10.0,0.7,Y,,,,,,N, ,N, ,34.081111,-117.228056,CISO
17609,Southern California Edison Co,57900,Solar Photovoltaic Project #48,CA,San Bernardino,S48J,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,2,2015,,,,Y,,,,,,,180.0,10.0,0.7,Y,,,,,,N, ,N, ,34.081111,-117.228056,CISO
